,epoch,losses,accuracy,precision,recall,f1
0,1,0.5595310248789334,0.8839285714285714,0.9342261904761904,0.8839285714285714,0.8962920016491446
1,2,0.38630964062989703,0.8928571428571429,0.9385416666666666,0.8928571428571429,0.9025609107279274
2,3,0.3217090072021598,0.7410714285714286,0.8165719696969697,0.7410714285714286,0.7254639355742297
3,4,0.27113028964589514,0.8303571428571429,0.917123724489796,0.8303571428571429,0.8432464011245525
4,5,0.37589033356025103,0.9553571428571429,0.9702380952380951,0.9553571428571429,0.9542658730158731
5,6,0.2681102907905976,0.9553571428571429,0.9675595238095239,0.9553571428571429,0.9548469387755103
6,7,0.2288259519116273,0.9375,0.9672619047619048,0.9375,0.9451974612688899
7,8,0.23879624450845377,0.9553571428571429,0.962797619047619,0.9553571428571429,0.9529890248640248
8,9,0.17432651426347476,0.7321428571428571,0.8388528138528137,0.7321428571428571,0.7204478721313086
9,10,0.24384723917122872,0.9553571428571429,0.9574404761904762,0.9553571428571429,0.9521825396825397
10,11,0.17674693444536793,0.9732142857142857,0.9806547619047619,0.9732142857142857,0.9737637362637362
11,12,0.16793109344259377,0.9375,0.9666028911564625,0.9375,0.9413562132312131
12,13,0.2384110548725677,0.9464285714285714,0.9298469387755103,0.9464285714285714,0.9339692053977767
13,14,0.14451678703346896,0.9642857142857143,0.9579613095238094,0.9642857142857143,0.9568027210884354
14,15,0.15585176334790293,0.9642857142857143,0.9643707482993197,0.9642857142857143,0.9604199372056514
15,16,0.13778816381587633,0.9821428571428571,0.9933035714285714,0.9821428571428571,0.9865764487613227
16,17,0.26325287661766483,0.8660714285714286,0.895713190579262,0.8660714285714286,0.8544503713490058
17,18,0.1738496438141853,0.9017857142857143,0.9424107142857142,0.9017857142857143,0.90595485863343
18,19,0.19698803540733126,0.9553571428571429,0.9738520408163265,0.9553571428571429,0.9550520208083234
19,20,0.18862405157692375,0.9017857142857143,0.941220238095238,0.9017857142857143,0.9067917697381984
20,21,0.15867678003592622,0.9821428571428571,0.9895833333333333,0.9821428571428571,0.9834802102659247
21,22,0.1355913156857862,0.9464285714285714,0.972172619047619,0.9464285714285714,0.9489081563799608
22,23,0.18611901342159226,0.9196428571428571,0.9558779761904761,0.9196428571428571,0.9278592687074829
23,24,0.13483155561640622,0.9464285714285714,0.9757440476190476,0.9464285714285714,0.9546046215689072
24,25,0.14345579932902067,0.9642857142857143,0.9806547619047619,0.9642857142857143,0.9667233560090702
25,26,0.11601404295051618,0.8571428571428571,0.9501488095238094,0.8571428571428571,0.8651568960917702
26,27,0.142785179606151,0.9196428571428571,0.9538690476190474,0.9196428571428571,0.9265949328449329
27,28,0.12268428162612494,0.9732142857142857,0.9801587301587301,0.9732142857142857,0.9726934523809524
28,29,0.11506525790392762,0.9285714285714286,0.9427614795918366,0.9285714285714286,0.9285289115646258
29,30,0.13258105717481128,0.9910714285714286,0.994047619047619,0.9910714285714286,0.9915584415584416
30,31,0.07876711005034547,0.9910714285714286,0.9836309523809524,0.9910714285714286,0.987012987012987
31,32,0.13565716964917052,0.9196428571428571,0.953125,0.9196428571428571,0.9221486846486845
32,33,0.14780715428706673,0.9285714285714286,0.9709821428571427,0.9285714285714286,0.9398351648351649
33,34,0.13882482157547085,0.9285714285714286,0.9650297619047619,0.9285714285714286,0.9361980281623138
34,35,0.10755692952356878,0.9642857142857143,0.9735119047619047,0.9642857142857143,0.9640538033395176
35,36,0.11228924816001266,0.9375,0.9616815476190476,0.9375,0.9409981100770575
36,37,0.12176478025873029,0.9732142857142857,0.9819302721088434,0.9732142857142857,0.9742521367521366
37,38,0.11360091652854212,0.9732142857142857,0.9712301587301587,0.9732142857142857,0.9700948561242679
38,39,0.09043950022065214,0.9464285714285714,0.9789540816326531,0.9464285714285714,0.9571371089228232
39,40,0.0790613903737967,0.9375,0.954485544217687,0.9375,0.9380295299938156
40,41,0.0772168941016028,0.9732142857142857,0.9866071428571429,0.9732142857142857,0.9777561024409763
41,42,0.07470291805645776,0.9553571428571429,0.9720982142857143,0.9553571428571429,0.9563186813186813
42,43,0.09182051268853395,0.9732142857142857,0.9821428571428571,0.9732142857142857,0.973859126984127
43,44,0.2197602394661526,0.9196428571428571,0.9749999999999999,0.9196428571428571,0.9352168664668665
44,45,0.132262689985394,0.9732142857142857,0.9836309523809523,0.9732142857142857,0.9752610693400168
45,46,0.10416735763225468,0.9553571428571429,0.9828869047619048,0.9553571428571429,0.9631911739054596
46,47,0.0675843870267272,0.9910714285714286,1.0,0.9910714285714286,0.9950396825396826
47,48,0.08114892992723201,0.9642857142857143,0.9664115646258503,0.9642857142857143,0.9611768192125335
48,49,0.14979652608449143,0.9642857142857143,0.9756944444444444,0.9642857142857143,0.9621215794009912
49,50,0.08646759489506838,0.9464285714285714,0.9598214285714286,0.9464285714285714,0.9430187867687867
